技能名称,相似技能1,相似度1,相似技能2,相似度2,相似技能3,相似度3,相似技能4,相似度4,相似技能5,相似度5,相似技能6,相似度6,相似技能7,相似度7,相似技能8,相似度8,相似技能9,相似度9,相似技能10,相似度10
多语言绑定开发经验,细致踏实,0.9,服务器硬件架构,0.9,产品开发项目流程,0.9,炭材料分析,0.9,后台开发,0.9,热衷于从事数据分析,0.9,公民意识,0.9,数字芯片设计,0.8,python程序,0.76,,
晶体振荡器,模拟电路设计经验,1.56,设计仿真工具,0.9,模拟电路理论,0.9,前后端分析,0.9,模拟版图设计,0.9,模拟集成电,0.9,验证功底,0.9,pspice,0.9,vcs,0.85,器件模型,0.85
风险分析,税务法律法规,0.85,内控合规要求,0.85,基本会计准则,0.85,沟通表达理,0.85,宏观思维,0.85,编写计算程序,0.85,专业知识,0.8,沉稳独立,0.76,财务政策,0.7200000000000001,,
实践经验,事业进取心,2.3499999999999996,处理管理,1.65,意向往销售管理发展,1.65,执行力,1.63,商务谈判,0.95,原则性,0.95,清晰的职业规划,0.95,社会实践经历,0.95,销售思维,0.8,互联网平台,0.8
临场发挥,沟通表达理,1.0,表现欲,1.0,语言表达,1.0,正形象气质,1.0,效沟通技巧,1.0,调动气氛,1.0,责任性,1.0,与粉丝聊天互动,1.0,表现力,1.0,,
做事有条理,国家相关法规,0.8,正形象气质,0.76,招聘流程,0.7200000000000001,常用面试方法,0.68,人力资源管理专业知识,0.6400000000000001,招聘渠道开发,0.6000000000000001,情绪管理,0.5599999999999999,亲和؜力,0.52,说服技巧,0.48,,
yolo,行业研究,0.9,机器学习建模,0.9,深度神经网络模型,0.9,学习理论,0.9,caffe,0.9,python程序,0.9,llvm,0.9,推荐算法,0.8,计算机视觉,0.76,,
mkt,互动沟通,0.8,软件开发项目各阶段,0.76,执行力,0.7200000000000001,执行流程,0.68,国家级证书,0.65,项目管理流程,0.65,digital,0.6400000000000001,social,0.6000000000000001,高度额责任心,0.5599999999999999,,
电子商务,英语四级通,0.9,航空公司提单,0.9,各航线,0.9,操作流程,0.9,确认船,0.9,目标敏感,0.9,采购流程,0.9,新媒体渠道,0.8,海空运出口业务知识,0.76,,
广告公司关系,社团管理经验,0.9,逻辑思考力,0.9,思维逻辑性,0.9,执行力,0.9,沟综合素质,0.9,资源拓展整合,0.9,英语沟通,0.9,大型公共场,0.8,媒介关系,0.76,,
代码规范,python程序,0.8,windows,0.8,gcc,0.8,数据结构,0.8,算法基础,0.8,功底好,0.8,linux操作命令4,0.76,设计模式,0.7200000000000001,c1证,0.68,,
商品运营管理流程,中英文水平,0.8,创新的想法,0.76,珠宝行业发展趋势,0.75,计算机软件,0.75,offic办公软件,0.75,竞品商品运营情况,0.75,品牌服装企业运作流程,0.7200000000000001,文案处理,0.68,数据分析方法,0.6400000000000001,,
编译原理,锂离子电池常见失效模式,0.8,原因分析,0.76,数据结构,0.7200000000000001,工程统计方法,0.68,分析手段,0.6400000000000001,llvm,0.6000000000000001,建筑环境,0.5599999999999999,分析方法,0.52,常用理化设备,0.48,,
常见攻击,linux操作命令4,0.95,攻防技术,0.95,漏洞的内在原理,0.95,安全生产管理技术,0.95,安全漏洞,0.95,利用方式,0.95,工程安全生产的法律法规,0.95,python程序,0.95,国家政策,0.8,,
材料配方,非金属材料的组织性能特性,1.0,钻研精神,1.0,组织性能测评,1.0,理论力学,1.0,非金属材料的制备工艺过程,1.0,工艺材料基本常识,1.0,典型金属,1.0,仿真分析软件,1.0,典型零部件产品的制造工艺方法,1.0,,
探索精神,服务意识足,1.4,react技术栈,1.0,核心胜任力,1.0,表达沟通,1.0,文字撰写功底,1.0,语言组织,1.0,沟综合素质,1.0,条理性好,1.0,前端开发,1.0,运营管理,1.0
相关法规,临床试验经验,0.8,商业思维,0.76,临床常见疾病的诊疗流程,0.7200000000000001,外延产品知识,0.68,协调公司与客户关系,0.6400000000000001,组织协调力,0.6000000000000001,诚实踏实,0.5599999999999999,文献检索,0.52,医学基础知识,0.48,,
谦虚谨慎,进取心,2.12,组织协调力,1.63,竞争意识,1.6,爱管事,1.52,陌生人打交道,1.4400000000000002,英语四级通,1.38,沟通表达理,1.35,凝聚力,1.35,管理潜质,1.2800000000000002,思路清晰文笔,1.1600000000000001
美术类开发软件,方案理解,0.9,blander,0.9,渲染软件,0.9,材质调试,0.9,沟通协作,0.9,人体解剖结构,0.9,阿诺德,0.9,场景动画绘制技术,0.8,美学基础,0.76,,
热爱化妆,游戏设计,0.8,技能设计,0.76,思路开阔,0.7200000000000001,关卡设计,0.68,文字呈现,0.65,客户沟通运作流程,0.65,反推过市面arpg,0.6400000000000001,逻辑思考力,0.6000000000000001,策划逻辑,0.5599999999999999,,
数据库软件,流程设计工具,0.8,统计软件,0.76,产品设计,0.7200000000000001,信接口,0.7,数字模拟电路,0.7,创造性解决问题5,0.7,统计工具,0.68,sas,0.6400000000000001,axcure,0.6000000000000001,,
代码经历,电子商务流程,0.8,问题解决,0.8,思路清晰文笔,0.8,社交媒体平台,0.8,维系客户粘度,0.8,阅读英文资料,0.8,聊天软件,0.76,用户服务意识,0.7200000000000001,服务设计工具,0.68,,
财务分析基础,适应性,0.95,人际交往,0.95,申报流程,0.95,业务敏感度,0.95,生物医药,0.95,沟通表达理,0.95,wind,0.95,金融素养基本功,0.95,药品研发,0.8,,
内含价值,统计基础,0.8,ppt操作,0.8,word文档,0.8,书面交流,0.8,技术分析,0.8,会计准备金,0.8,access,0.76,数理统计背景,0.7200000000000001,偿二代,0.68,,
问题分析,亲和؜力,1.65,逻辑思考力,1.65,抗压性,1.6,进取心,1.5,目标敏感,1.48,offic办公软件,0.85,洞察力,0.85,极富团队合作精神,0.85,市场开拓,0.85,总结分析,0.85
tcl,vcs,1.6,数字电,1.4100000000000001,逻辑设计,1.4000000000000001,物理层算法,0.8,光学测试设备,0.76,芯片设计流程,0.76,通信系统,0.7200000000000001,器件工艺,0.7200000000000001,数据显示,0.7,低速数字接口,0.7
基本人力,物流行业基础营运流程,1.0,用户服务意识,1.0,市场营销,1.0,产品功能分析,1.0,积极向上,1.0,绘图技能,1.0,意向往童装发展,1.0,原形设计,1.0,分析力,1.0,,
数组公式,数据逻辑思维,0.8,图形硬件架构,0.8,分析背景,0.8,应用函数,0.8,逻辑化,0.8,数据仓库理论,0.8,搭建公式,0.76,spark,0.7200000000000001,数据架构,0.68,,
yout设计,linux操作命令4,0.8,快画图快,0.8,calibre,0.8,电压降,0.8,集成电路设计流,0.8,synopsys,0.8,常用设计工具,0.76,排版布局,0.7200000000000001,画图方法,0.68,,
电商平台规则,销售意识,0.9,电商零售业,0.9,服装行业电子商务运营模式,0.9,头脑清晰,0.9,热衷网购,0.9,网络平台,0.9,服务意识足,0.9,天猫平台规则,0.8,基础护肤化妆知识,0.76,,
opencv开发经验,caffe,0.8,图像检测,0.76,视频分析,0.7200000000000001,机器学习,0.68,代码开发风格,0.65,python程序,0.65,常用机器学习,0.6400000000000001,图像分类,0.6000000000000001,传统图像处理方法,0.5599999999999999,,
乐观外向,沟通方式,0.8,外延产品知识,0.76,word文档,0.75,用户服务意识,0.75,税收优惠备案,0.75,销售力,0.75,各项税收政策,0.7200000000000001,强烈成就动机,0.68,口齿清晰,0.6400000000000001,,
产品特性,挖掘客户需求,0.85,电话沟通技巧,0.85,跟进进程,0.85,抗压性,0.85,网络知识基础,0.85,提高客户满意度,0.85,口齿表达,0.8,普通话标准,0.76,电脑操作知识,0.7200000000000001,,
监管环境,嗅觉敏锐,0.9,基础研究分析方法,0.9,独立推进项目,0.9,产品同理心,0.9,服务设计意识,0.9,研究流程,0.9,多线程处理,0.9,金融产品架构,0.8,设计逻辑,0.76,,
车辆运动控制算法,亲和؜力,1.0,排版编辑器,1.0,负责客户开发,1.0,despace,1.0,正形象气质,1.0,车辆运动学理论,1.0,sas,1.0,分析方法,1.0,英文资料,1.0,,
沟通并能公开演讲,演讲表达,0.8,私募基金运作管理,0.76,各类金融产品特性,0.7200000000000001,有追求,0.68,符合中欧基金,0.6400000000000001,产品设计,0.6000000000000001,活动组织,0.6,攫取欲望,0.5599999999999999,基金行业的法律法规,0.52,,
职位方向专业技能,数字设计流程,0.85,以太网控制器,0.85,逻辑设计,0.85,spi,0.85,perl一种,0.85,硬件设计语言,0.85,芯片制造流程,0.8,处理器,0.76,vcs,0.7200000000000001,,
分析手段,llvm,0.8,建筑环境,0.8,编译原理,0.8,常用理化设备,0.8,分析方法,0.8,锂离子电池常见失效模式,0.8,原因分析,0.76,数据结构,0.7200000000000001,工程统计方法,0.68,,
热衷于算法,计算机基础扎实,1.8,数据结构,1.6800000000000002,计算机理论知识,1.0,cocoscreator,1.0,专业课成绩,1.0,layabox,1.0,计算机理论基础,1.0,typescript语法5,1.0,浏览器端,1.0,图形学库,0.76
逻辑思维清晰,财务软件,0.85,文字编写,0.85,沟通反馈,0.85,风险应对,0.85,自我管理潜力,0.85,数据变化敏感度,0.85,收法规,0.8,正形象气质,0.76,事业心,0.7200000000000001,,
mipi,嵌入式软件,0.9,android,0.9,高速外设接口,0.9,keil,0.9,spi,0.9,总线协议,0.9,despace,0.9,usb,0.8,红黑树,0.76,,
现主流的特效制作软件,美工功底,0.95,设计功底,0.95,审美力,0.95,镜头感觉,0.95,美术功底,0.95,美术基础,0.95,动画功底,0.95,主流的特效制作软件,0.95,手绘板绘制,0.8,,
工作规划,语言沟通,0.95,化办公软件,0.95,offic办公软件,0.95,逻辑思考力,0.95,总结分析,0.95,执行力,0.95,办公室自动化,0.95,问题解决,0.95,风险识,0.8,亲和؜力,0.8
制图软件,活动影像拍摄,0.8,平面设计技,0.76,美术功底,0.7200000000000001,平面设计用软件,0.68,设计软件,0.65,主流设计软件,0.65,美术基础,0.6400000000000001,illustrator,0.6000000000000001,c4d,0.5599999999999999,,
分析问题,解决问题的意识,0.95,企业资源计划,0.95,linux系统下面搭建,0.95,挖掘客户需求,0.95,执行相关软件,0.95,效沟通技巧,0.95,管理信息系统的知识,0.95,javascript语言,0.95,分析领域论文,0.8,财税专业知识,0.8
运营管理,表达沟通,0.85,沟综合素质,0.85,前端开发,0.85,核心胜任力,0.85,条理性好,0.85,react技术栈,0.85,物流专业知识,0.8,探索精神,0.8,语言组织,0.76,漏洞检测,0.76
人力资源管理各项实务的操作流程,亲和؜力,0.85,合同管理,0.85,国家劳动法规,0.85,沟通表达理,0.85,化办公软件,0.85,国家各项劳动人事法规政策,0.85,国家相关法规,0.8,人力资源六大板块内容,0.76,职业道德,0.7200000000000001,,
游戏专业度,建立关系,0.8,攫取欲望,0.76,外语水平,0.7200000000000001,产品策划相关工具,0.68,乐于从事销售类工作,0.6400000000000001,产品研发,0.6000000000000001,娱乐社交产品,0.5599999999999999,数据逻辑,0.52,公司管理,0.48,,
英语口语,书面表达,1.6,自驱动力,1.0,化办公软件,1.0,快速适应,1.0,高度额责任心,1.0,书面英语,1.0,积极主动,1.0,判断力,1.0,英语阅读,1.0,创新意识,1.0
电磁场,mg动画视频的制作,0.8,抓重点,0.76,完成视觉设计,0.7200000000000001,前期策划,0.68,目标敏感,0.65,flutter,0.65,强烈成功欲望,0.6400000000000001,新媒体运营工作经验,0.6000000000000001,react技术栈,0.5599999999999999,,
机械设计相关标准,橡胶件,0.85,机械设计,0.85,开源软件,0.85,产品设计,0.85,计算机基础理论,0.85,齿轮传动,0.85,聚氨酯,0.8,制冷暖通专业知识,0.76,移动破,0.7200000000000001,,
谦虚勤奋,发散性思维,0.8,务实肯干,0.76,工作韧性,0.7200000000000001,文案写作,0.68,营销策划,0.6400000000000001,精力旺盛,0.6000000000000001,执行力,0.6,新媒体行业,0.5599999999999999,语言组织,0.52,,
声音在游戏,团队精神6,1.0,主动沟通,1.0,交互音乐想象力,1.0,葫芦丝,1.0,音频理论,1.0,基本方法,1.0,目标敏感,1.0,音乐教育功底功底,1.0,offic办公软件,1.0,,
英语语言,自驱力,1.56,效沟通技巧,1.0,普通话标准,1.0,心态积极,1.0,责任感6,1.0,分析客户,1.0,发展意愿,1.0,高度额责任心,1.0,化办公软件,1.0,活动策划创意丰富,0.85
诚信敬业,热爱中国传统文化,0.8,口齿清晰,0.76,语言沟通,0.7200000000000001,语言表达,0.7,普通话标准,0.7,执行力,0.7,处理人际关系,0.68,目标意识,0.6400000000000001,销售意识,0.6000000000000001,,
想象力,手绘板绘制,1.6,sai,1.4000000000000001,平面设计用软件,1.4,审美力,1.4,造型功底,1.3200000000000003,游戏经历丰富,0.8,玩家心理,0.76,美术基础,0.76,课程学习成绩,0.75,基础知识,0.75
玩家心理,高敏感度,0.95,时间观念,0.95,抗压强度,0.95,协作沟通,0.95,想象力,0.95,afk,0.95,游戏运营有浓厚兴趣,0.95,责任感6,0.95,英文读写,0.95,课程学习成绩,0.95
国内会计法律法规,财务基础,0.95,创业精神,0.95,操作系统的基础知识,0.95,国家会计法规,0.95,收政策,0.95,独立学习,0.95,财务管理,0.95,敏锐的观察力,0.95,财务软件,0.8,,
探究心,用户洞察,0.8,产品设计软件,0.76,数据变化敏感度,0.7200000000000001,执行力,0.7,抗压性,0.7,高度额责任心,0.7,数据思维,0.68,owner意识,0.6400000000000001,逻辑思考力,0.6000000000000001,,
各类磁耦合式电源变换拓扑,数字电路设计,0.8,电源拓扑,0.8,桥式电路,0.8,铁氧体,0.8,安规设计,0.8,超微晶,0.8,电磁兼容设计,0.76,模拟电路,0.7200000000000001,专业理论知识,0.68,,
组织绩效管理,业务敏感度,0.8,逻辑思考力,0.8,公司股权,0.8,创新意识,0.8,沟通协作,0.8,操作思路,0.8,组织架构设计,0.76,常用面试方法,0.7200000000000001,组织洞察力,0.68,,
人力资源行业,结果导向思维,0.8,人际交往技能,0.76,用户服务意识,0.7200000000000001,志存高远,0.68,offic办公软件,0.65,学上进心,0.65,客户业务,0.6400000000000001,高度额责任心,0.6000000000000001,管理流程,0.5599999999999999,,
流程3,亲和؜力,0.9,逻辑思考力,0.9,场景分析,0.9,组织沟通,0.9,执行力,0.9,问题分析,0.9,文档撰写,0.9,用户研究常见方法,0.8,性测试-启发式评估-眼动测试,0.76,,
时间管理意识,稳定性,0.85,热爱与人交流,0.85,课程学习成绩,0.85,可塑性,0.85,快速适应,0.85,与他人协作,0.85,计划并坚持执行,0.8,自我激励,0.76,认同公司运作模式,0.7200000000000001,,
密度矩阵,html5css,0.8,mesh优化,0.76,react技术栈,0.7200000000000001,python程序,0.7,数据结构,0.7,数据库开发,0.7,几何算法,0.68,渲染管线搭建,0.6400000000000001,数值计算,0.6000000000000001,,
公众号运营,敏感的网感,0.8,专题策划,0.8,宏观思维,0.8,代表性作,0.8,思想成熟,0.8,阅读量大,0.8,表述逻辑,0.8,各类新媒体,0.76,结合公司实际情况,0.76,网络社会化媒体传播形式,0.7200000000000001
数字模拟电路,流程设计工具,0.8,统计软件,0.76,产品设计,0.7200000000000001,统计工具,0.68,sas,0.6400000000000001,axcure,0.6000000000000001,信接口,0.6,数据库软件,0.5599999999999999,创造性解决问题5,0.52,,
形位公差绘图,挑战精神,0.8,机构设计,0.76,课程学习成绩,0.7200000000000001,性格开朗,0.7,联合单片机的电路,0.7,混合式步进,0.7,积极向上,0.68,执行力,0.6400000000000001,可自行搭建,0.6000000000000001,,
折返式望远镜,相机成像原理,0.8,codev,0.76,zemax,0.7200000000000001,光学系统设计,0.7,激光准直,0.7,物理光学理论,0.7,物理光学,0.68,光学分析器件,0.6400000000000001,tracepro,0.6000000000000001,,
专研3,亲和؜力,1.0,ppt操作,1.0,自驱力,1.0,逻辑性,1.0,逻辑思考力,1.0,口头表达,1.0,团队意识,1.0,,,,,,
adobe,操作office,0.9,情商高,0.9,创新意识,0.9,极富团队合作精神,0.9,效沟通技巧,0.9,事业心,0.9,职业素质,0.9,视觉设计,0.8,工程建筑设计知识,0.8,思路清晰文笔,0.76
头脑清晰,天猫平台规则,0.8,基础护肤化妆知识,0.76,电商平台规则,0.7200000000000001,热衷网购,0.68,销售意识,0.65,服务意识足,0.65,电商零售业,0.6400000000000001,网络平台,0.6000000000000001,服装行业电子商务运营模式,0.5599999999999999,,
文史修养,文学作品,0.8,文字功底,0.76,文化差,0.75,文案写作,0.75,常用公文的写作,0.75,文字创意,0.75,女性向游戏,0.7200000000000001,手游产品深度体验,0.68,游戏文案,0.6400000000000001,,
社会实践经验,软件开发基础,0.8,致力向项目管理,0.76,系统识别,0.7200000000000001,学上进心,0.68,产品交互设计,0.6400000000000001,功能逻辑设计相关流程,0.6000000000000001,创造力,0.5599999999999999,极富团队合作精神,0.52,产品成型,0.48,,
设计低精度原型图,axcure,0.8,需求分析工作,0.76,基础工具,0.7200000000000001,大数据相关知识体系,0.68,文档规范,0.6400000000000001,需求分析方法,0.6000000000000001,冲突管理,0.5599999999999999,产品设计软件,0.52,广告监测,0.48,,
主流制冷剂的原理,基础控制算法,1.0,逻辑思考力,1.0,软件测,1.0,专业基础,1.0,机械的构造,1.0,offic办公软件,1.0,电路基础知识,1.0,手动工具,1.0,低温制冷,1.0,机械结构,0.9
运作模式,组织协调力,0.9,offic办公软件,0.9,部门全盘运作,0.9,生产效率评估,0.9,沟通协作,0.9,化办公软件,0.9,产品制成结构,0.9,生产设备,0.8,安全生产法,0.76,,
主流美妆营销媒体,媒体特征,2.8,营销玩法,2.0,美妆产品使用,1.8,喜欢研究化妆品成分,1.8,逻辑推理,1.8,热衷种草,1.7200000000000002,数据分析整理,1.0,协调沟通,1.0,互联网知识,1.0,协助活动提报,1.0
药学相关专业知识,学习的意识,0.85,药品生产质量管理规范,0.85,食品行业相关标准,0.85,工程架构,0.85,中英文读写,0.85,团队分享,0.85,文件撰写,0.8,数理统计理论,0.76,检定方法验证,0.7200000000000001,,
数据模型设计方法,数据迁移,0.8,领导力,0.8,数据质量产品,0.8,型关系型数据库,0.8,逻辑思考力,0.8,数据库知识,0.8,理解力,0.76,出差沟通需求,0.7200000000000001,短期在客户现场作业,0.68,,
基建管理,合同签订,0.8,营业场所管理,0.76,服务意识足,0.75,原价管理,0.75,现金管理知识,0.75,招商管理,0.75,初级账务管理,0.7200000000000001,物业现场管理,0.68,绿化卫生管理,0.6400000000000001,,
液压系统,机原理,0.8,3d动画制作,0.76,机械设计,0.7200000000000001,复杂非标设备的机电一体化设备设计流程,0.68,材料、力学,0.6400000000000001,各种材料的选用,0.6000000000000001,机械设计知识,0.5599999999999999,连杆机构,0.52,机械专业知识水平,0.48,,
shell命令,python程序,0.8,基金托管外包业务,0.76,空间几何,0.7200000000000001,数学方程,0.68,visio\axure,0.6400000000000001,嵌入式处理,0.6000000000000001,服务器操作系统,0.5599999999999999,linux操作系统,0.52,windows,0.48,,
爱钻研思考,电子产品,0.85,工作态度,0.85,数字电路基础知识,0.85,基础理论知识,0.85,电池管理系统,0.85,模拟电路,0.85,allegro,0.8,模拟电路基础,0.76,数字电,0.7200000000000001,,
溶出仪,高效液相,0.85,电网规划,0.85,常用检验仪器设备,0.85,细胞培养操作经验,0.85,沟通交互,0.85,系统分析专业知识,0.85,分子生物学技能,0.8,研究基本方法论,0.8,药物制剂理论,0.76,实验动物,0.76
服务化相关软件架构,传统算法,0.85,机器学习算法,0.85,组件化,0.85,spark,0.85,机器学习模型,0.85,rning算法,0.85,python程序,0.8,svm,0.76,数据结构,0.7200000000000001,,
大局观念,反映敏捷,0.8,组织协调力,0.8,商务谈判,0.8,市场拓展素质,0.8,市场分析,0.8,亲和؜力,0.8,沟通表达理,0.76,交际技巧,0.7200000000000001,国外客户进行交流,0.68,,
演讲表达,活动组织,1.0,产品设计,1.0,私募基金运作管理,1.0,攫取欲望,1.0,基金行业的法律法规,1.0,符合中欧基金,1.0,各类金融产品特性,1.0,有追求,1.0,沟通并能公开演讲,1.0,,
与政府大型企业合作,招聘渠道开发,0.8,文字编写,0.76,沟通谈判,0.7200000000000001,商务拓展,0.68,团队合作经验,0.6400000000000001,互帮互助精神,0.6000000000000001,头部制作公司的综艺资源,0.6,谦虚谨慎,0.5599999999999999,综艺艺人统筹,0.52,,
不断优化流程,自驱动力,0.8,系统逻辑,0.8,offic办公软件,0.8,抗压性,0.8,沟通交互,0.8,创新精神,0.8,物流知识,0.76,英文读写,0.7200000000000001,总结项目所,0.68,,
负责公司电脑系统的维护,设计文档,0.8,三层网络协议,0.8,综合布线,0.8,计算机基础理论知识,0.8,物联网产品开发经验,0.8,汇报材料,0.8,解决网络,0.76,服务器,0.7200000000000001,态度积极主动,0.68,,
生物网站,分子生物学技能,0.8,perl一种,0.76,linux系统,0.7200000000000001,python程序,0.68,生物信息分析,0.6400000000000001,linux操作命令4,0.6000000000000001,生物信息数据处理流程,0.6,阅读英文科技文献,0.5599999999999999,程序实现,0.52,,
互联网互联网,文字功底,0.8,宏观思维,0.76,文案方向实习经历,0.7200000000000001,擅于在内容中提炼关键点,0.7,营销方式,0.7,学习方法,0.7,审美力,0.68,镜头感觉,0.6400000000000001,内容运营方法,0.6000000000000001,,
营销管理知识,编写计算程序,0.8,财税软件,0.8,开单发货,0.8,商品进,0.8,综合管理,0.8,系统软件,0.8,公司财务管理流程,0.76,会计核算,0.7200000000000001,营销知识,0.68,,
despace,车辆运动控制算法,0.8,usb,0.8,英文资料,0.76,红黑树,0.76,mipi,0.7200000000000001,sas,0.7200000000000001,负责客户开发,0.7,亲和؜力,0.7,正形象气质,0.7,车辆运动学理论,0.68
问题发现,高度额责任心,0.95,主动沟通意识,0.95,进取心,0.95,组织协调力,0.95,自我约束力,0.95,处理管理,0.95,培养潜力,0.95,计算机基础知识,0.95,办公软件知识,0.8,,
营销管理理念,平台运营规则,0.95,增量获取方式,0.95,营销活动打法,0.95,时尚触觉,0.95,强烈成功欲望,0.95,数据变化敏感度,0.95,社会实践经历,0.95,视觉把控力,0.95,电商行业,0.8,,
化学模型,生物分离纯化涉,0.8,nuke,0.76,影视后期制作流程,0.7200000000000001,追求美感,0.68,机合成单元,0.65,声码器,0.65,语音合成技术,0.6400000000000001,生物实验操作技能,0.6000000000000001,光影关系,0.5599999999999999,,
物体正确合理的运动效果,动画基本原理,0.8,自然的动画效果,0.76,illustrator,0.75,手写板,0.75,基础动画运动规律2,0.75,2d游戏动画,0.75,三维动画制作,0.7200000000000001,3d动画制作,0.68,motionbuilder,0.6400000000000001,,
工程建设的法律法规,ethers.js库,1.0,web3.js,1.0,英语证书,1.0,课程学习成绩,1.0,行业规范,1.0,solidity开发经验,1.0,英语四级通,1.0,英语书面,1.0,接受挑战,1.0,,
财税政策,财务软件,0.8,职业操,0.76,1年以上工作经验,0.7200000000000001,银行结算业务,0.68,税务法规,0.6400000000000001,独立学习,0.6000000000000001,财会专业基础,0.6,操作系统的基础知识,0.5599999999999999,成本意识,0.52,,
公关意识,贸易操作流程,0.8,国外客户,0.76,英语听,0.7200000000000001,新媒体推广,0.68,客户沟通,0.6400000000000001,英语四级通,0.6000000000000001,英语6级,0.5599999999999999,英语流,0.52,听说读写,0.48,,
影响范围,数据收集分析,0.85,反馈率,0.85,沟通交互,0.85,文字编辑功底,0.85,乐观积极,0.85,市场研究技术,0.85,处理客户关系,0.8,全面性,0.76,抽样方法,0.7200000000000001,,
热界面材料,微结构材料批量生产,0.85,电化学设计,0.85,表面处理涂层材料,0.85,cms相关工艺,0.85,材料表征方法,0.85,电芯正负极材料研发工作,0.85,电磁材料的选型,0.8,材料计算知识基础,0.76,磁控溅射镀膜设备结构,0.7200000000000001,,
部分产品,持久力爆表,1.0,口头表达流,1.0,游戏行业充满激情,1.0,清晰规划设计架构,1.0,深度体验过bingo,1.0,slots,1.0,游戏的经济体系,1.0,棋牌行业环境,1.0,总结游戏规则,1.0,,
yarn,spark,2.2800000000000002,hbase,2.16,storm,1.3599999999999999,编码量,0.8,数据结构,0.8,word2vec,0.8,数据组件,0.8,大数据平台生态组件,0.8,机器学习,0.76,python程序,0.7200000000000001
公文写作功底,服务意识足,1.43,道德品质,1.4000000000000001,探索精神,0.95,突发事件,0.95,工作主动性,0.95,组织协调力,0.95,linux操作命令4,0.95,商务谈判,0.95,offic办公软件,0.95,思想政治素质,0.8
gnerswelcome,客户沟通,0.8,全英文工作,0.8,英语沟通表达流畅,0.8,英语听,0.8,内容写作,0.8,市场意识,0.8,英语水平,0.76,社交媒体,0.7200000000000001,海外广告平台的特性,0.68,,
热管理原理,材料特性分析,0.8,新能源整车热管理系统控制策略,0.76,热管理,0.75,各种材料的应用,0.75,基础理论知识,0.75,冷媒回路系统结构,0.75,汽车热系统理论基础,0.7200000000000001,软件算法,0.68,结构设计的工具,0.6400000000000001,,
创新性,社会实践经历,1.0,强烈成功欲望,1.0,处事灵活度,1.0,管理方向发展,1.0,组织协调力,1.0,谦虚谨慎,1.0,事业进取心,1.0,平面设计技,1.0,领导力,1.0,,
机器翻译系统的效果优化,机器人学基础知识,0.8,数学基础,0.76,线性代数,0.7200000000000001,李群李代数,0.68,图像处理算法,0.6400000000000001,darknet,0.6000000000000001,全局路径规划算法,0.5599999999999999,图像处理基础,0.52,卡尔曼滤波器,0.48,,
工作流程,财务证书,0.8,财务相关政策法规,0.8,办公电脑,0.8,会计学原理,0.8,风险意识,0.8,结果导向思维,0.8,财务各,0.76,职业资格证书,0.7200000000000001,word文档,0.68,,
