岗位名称,模板词1,原词1,模板词2,原词2,模板词3,原词3,模板词4,原词4,模板词5,原词5,模板词6,原词6,模板词7,原词7,模板词8,原词8
内容运营,,,,,,,,,,,,,,,,
农业管理储备员/农业管理储备干部,沟通协调,沟通能力,团队协作,团队协作意识,office办公软件,offic办公软件,学习,学习能力,,,,,,,,
培训研究员/培训师/培训策划研究员,团队协作,团队的协作能力,office办公软件,办公软件3,,,,,,,,,,,,
平面设计师,CorelDRAW/CDR,CorelDRAW/Cdr,创意,创意设计能力,,,,,,,,,,,,
前端开发工程师/前端工程师/客户端工程师,Vue,Vue技术,JavaScript,JavaScript功底,UE4,负责UE4,,,,,,,,,,
嵌入式软件开发工程师,C++,C++编程能力,C语言,C语言程序设计,SPI-UART-I2C,SPI/UART/I2C,linux/嵌入式操作系统,嵌入式操作系统/linux操作命令4,ARM,ARM平,,,,,,
驱动开发工程师,Java,Java底,Kotlin,Kotlin语言,C++,C++编程能力,,,,,,,,,,
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,沟通协调,沟通表达理,团队协作,团队合作精神抗压能力,office办公软件,offic办公软件,抗压,团队合作精神抗压能力,,,,,,,,
软件测试工程师,Java,Java底,linux,linux操作命令4,python,python程序,C++,C++编程能力,Mysql,Mysql的设计,,,,,,
商务司机,新客户开发,开发新客户,客情维护,客情维护能力,学习,知识学习,,,,,,,,,,
商务总监/商务经理/商务专员,沟通协调,沟通交互,逻辑思考,逻辑性,office办公软件,化办公软件,,,,,,,,,,
设计管培生,Photoshop,Photos,手绘板,手绘板绘制,,,,,,,,,,,,
社交媒体运营/抖音运营/微信运营/知乎运营/小红书运营,热点感知,热点感知能力,眼光独到,运营规则机制2.眼光独到,运营规则机制,运营规则机制2.眼光独到,策略思维,策略思,,,,,,,,
市场管理培训生,沟通协调,沟通执行能力,活动策划,活动策划能力,组织协调,组织能力,数据分析,数据分析处理能力,学习,学习能力,,,,,,
市场营销管培生,客户资源开拓,自主开拓客户资源的能力,问题分析处理,处理问题的能力,承挫抗压,承挫抗压能力,,,,,,,,,,
市场营销人员/市场推广人员/市场顾问/市场总监/营销主管,,,,,,,,,,,,,,,,
视觉设计师/视觉设计总监,Photoshop,Photos,字体设计,字体设计技能,,,,,,,,,,,,
视频编辑师,沟通协调,提案沟通能力,,,,,,,,,,,,,,
售前工程师/售前技术支持/售前客服,沟通协调,客户沟通4,,,,,,,,,,,,,,
数据分析师,SQL,复杂SQL,Excel,Excel函,python,python程序,统计分析原理,统计分析专业能力,数据分析,数据分析处理能力,,,,,,
私域运营/社区运营/流量运营/媒介运营/渠道运营/区域运营,策划,策划思路,,,,,,,,,,,,,,
土木结构工程师/土建结构工程师,,,,,,,,,,,,,,,,
外贸经理/外贸业务员,英语6级听说读写能力,英语听说读写能力/写能力/英语6级,外贸订单跟踪,跟踪外贸订单,,,,,,,,,,,,
系统工程师,linux,linux操作命令4,自驱力,学习自驱力,python,python程序,C++,C++编程能力,计算机基本理论知识,计算机基本理论知识l,,,,,,
项目调研专员/项目服务专员/项目助理/项目专员,互动沟通协调,互动沟通,项目调研,项目调研能力,组织协调,组织协调力,文献检索,文献检索经验,,,,,,,,
项目管理管培生/项目管理培训生/项目管培生/项目经理管培生/项目经理培训生,沟通协调,沟通协调能力能力,责任感,责任感6,office办公软件,offic办公软件,学习,学习能力,,,,,,,,
项目管理实施工程师/项目管理工程师/项目实施工程师/项目工程师/项目运营管理员,沟通协调,沟通交互,问题分析处理,分析问题,ORACLE,ORACLE数据库,PLSQL,PLSQL工具,,,,,,,,
项目交付专员/项目交付工程师/项目执行员,沟通协调,沟通6,人际交往,人际交往技能,计划管理,计划管理能力,,,,,,,,,,
销售VP/销售副总监/销售总监/销售经理/销售工程师/销售助理/销售专员/销售顾问/销售管理员,沟通协调,沟通协调能力能力,学习,学习能力,,,,,,,,,,,,
销售管理培训生/销售管培生/销售培训生/销售运营管培生,团队协作,团队合作适应性,DR设备,包括DR设备,,,,,,,,,,,,
新媒体运营/新媒体运营助理,文案策划,文案功底,,,,,,,,,,,,,,
行业研究员,,,,,,,,,,,,,,,,
行政专员/行政助理,沟通协调,沟通反馈意识,office办公软件,化办公软件,160cm,高160cm,服务意识,服务意识足,团队协作,团队协作意识,,,,,,
学术推广代表/学术型实习生/学术研究员/研究助理,EXCEL,本exel,组织协调,组织协调力,学习,学习能力,,,,,,,,,,
业务定向生/业务管培生/业务品质管培生,,,,,,,,,,,,,,,,
艺人助理/主播助理/经纪人,沟通协调,沟通反馈意识,团队协作,团队协作意识,,,,,,,,,,,,
营销管理培训生/营销管培生/营运管理管培生,英语四级,英语四级通,沟通协调,沟通协调能力能力,逻辑思考,逻辑思考力,,,,,,,,,,
硬件工程师,模拟电路设计,模拟电路设计经验,ARM,ARM平,产品需求,产品需求收集,DSP,DSP应用,,,,,,,,
用户界面开发工程师/web前端工程师,html5,html5css/HTMLS,AngularJS,Angular.js,JavaScript,JavaScript功底,UE4,负责UE4,Vue,Vue技术,CSS3,html5css,,,,
游戏场景设计师/游戏角色设计师/游戏动作设计师/游戏界面设计师/游戏特效设计师/游戏设计师/游戏原画设计师,Photoshop,Photos,手绘板,手绘板绘制,,,,,,,,,,,,
运维工程师/运维开发工程师,Java,Java底,linux,linux系统运维,python,python程序,Mysql,Mysql的设计,,,,,,,,
运营管理管培生/运营管理培训生/运营管培生专员/运营经理管培生,文案写作,文案写作能力,诚实守信,服务意识做人诚实守信,逻辑思考,逻辑思考力,数据分析,数据分析处理能力,服务意识,服务意识做人诚实守信,,,,,,
招聘管理培训生,沟通协调,沟通表达理,谈判技巧,说服技巧,ppt,ppt4,,,,,,,,,,
质量管理工程师,,,,,,,,,,,,,,,,
